=== Whisper vs Parakeet-unified: chunked re-transcribe failure rates ===

  dur    n   W int_h%   W fin_h%   W empty%   P int_h%   P fin_h%   P empty%  n_inter
-------------------------------------------------------------------------------------
  0.5    9    0/9  0%    7/9 78%    0/9  0%    0/9  0%    2/9 22%    3/9 33%        0
  1.0    7    0/7  0%    3/7 43%    0/7  0%    0/7  0%    1/7 14%    1/7 14%        0
  1.5    7    3/7 43%    2/7 29%    0/7  0%    0/7  0%    0/7  0%    1/7 14%        1
  2.0    7    1/7 14%    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%        1
  2.5    7    3/7 43%    1/7 14%    0/7  0%    0/7  0%    0/7  0%    1/7 14%        2
  3.0    7    3/7 43%    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%        2
  5.0    7    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%        4
 10.0    7    2/7 29%    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%        9
 15.0    7    2/7 29%    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%       14
 20.0    7    2/7 29%    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%       19
 25.0    7    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%       24
 30.0    7    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%    0/7  0%       29
